"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
2097,3,"3156-11 AGL","1","Central Ferry, USA 2018","Us18",15.8,14.3,0.013699,73,0.0144468298231742,69.2193382381994
5101,3,"3156-11 AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00969124632281076,103.18590268893
5572,3,"3156-11 AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00969124632281076,103.18590268893
5997,3,"3156-11 AGL","3","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00969124632281076,103.18590268893
1200,3,"3156-11 AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.011765,NA,0.0104425362741665,95.7621763281658
1425,3,"3156-11 AGL","2","Bhopal, India 2017","In17",20.6,10.7,0.011765,NA,0.0104425362741665,95.7621763281658
1969,3,"3156-11 AGL","3","Bhopal, India 2017","In17",20.6,10.7,0.011765,NA,0.0104425362741665,95.7621763281658
5027,4,"CDC Greenstar AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0193457900046868,51.6908329800818
5570,4,"CDC Greenstar AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0193457900046868,51.6908329800818
5692,4,"CDC Greenstar AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0193457900046868,51.6908329800818
1399,4,"CDC Greenstar AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.007812,128,0.0073879954114443,135.354713194727
1462,4,"CDC Greenstar AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007519,133,0.0073879954114443,135.354713194727
2047,4,"CDC Greenstar AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007874,127,0.0073879954114443,135.354713194727
103,4,"CDC Greenstar AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0186215539658767,53.7012110714531
1163,4,"CDC Greenstar AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018868,53,0.0193429649160835,51.6983825560533
1725,4,"CDC Greenstar AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.02,50,0.0193429649160835,51.6983825560533
1909,4,"CDC Greenstar AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.020408,49,0.0193429649160835,51.6983825560533
658,4,"CDC Greenstar AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0186215539658767,53.7012110714531
1014,4,"CDC Greenstar AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0186215539658767,53.7012110714531
4313,4,"CDC Greenstar AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008929,112,0.00837266343862828,119.436306896845
4699,4,"CDC Greenstar AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.009174,109,0.00837266343862828,119.436306896845
4980,4,"CDC Greenstar AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008929,112,0.00837266343862828,119.436306896845
2176,4,"CDC Greenstar AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.008264,121,0.0079890781775757,125.170886774756
2484,4,"CDC Greenstar AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.008403,119,0.0079890781775757,125.170886774756
2828,4,"CDC Greenstar AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.008403,119,0.0079890781775757,125.170886774756
3650,4,"CDC Greenstar AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.009259,108,0.0114181866639771,87.579580666243
