"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
2003,10,"CDC KR-1 AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,52,52,71,98,"Ro16",4.25,0.019231,44,46,17.2,16.2,50.6206269561888
702,10,"CDC KR-1 AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,56,56,73,105,"Su16",3.8,0.017857,43,49,16.7,15.9,53.0120478074321
861,10,"CDC KR-1 AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,11,55,55,71,103,"Su16",3.6,0.018182,44,48,16.7,15.9,53.0120478074321
4335,10,"CDC KR-1 AGL","1","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,112,112,127,156,"Sp16",3,0.008929,87,44,12.5,10.9,111.627906976744
4568,10,"CDC KR-1 AGL","2","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,114,114,127,143,"Sp16",3.2,0.008772,89,29,12.5,10.9,111.627906976744
4881,10,"CDC KR-1 AGL","3","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,109,109,119,147,"Sp16",2.7,0.009174,84,38,12.5,10.9,111.627906976744
2208,10,"CDC KR-1 AGL","1","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,119,119,142,157,"Mo16",3.55072463768116,0.008403,109,38,12,10.8,121.031598131282
2654,10,"CDC KR-1 AGL","2","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,119,119,139,157,"Mo16",3.55072463768116,0.008403,109,38,12,10.8,121.031598131282
2991,10,"CDC KR-1 AGL","3","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,119,119,139,157,"Mo16",3.55072463768116,0.008403,109,38,12,10.8,121.031598131282
5711,10,"CDC KR-1 AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,58,58,74,90,"Su17",4.36,0.017241,43,32,15.7,16.1,55.9852842863212
5796,10,"CDC KR-1 AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,55,55,73,83,"Su17",3.88,0.018182,44,28,15.7,16.1,55.9852842863212
208,10,"CDC KR-1 AGL","1","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,7,72,72,86,104,"Ba17",2.77049180327869,0.013889,65,32,21.7,11,49.8314799062637
501,10,"CDC KR-1 AGL","2","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,80,80,104,112,"Ba17",3.29508196721311,0.0125,74,32,21.7,11,49.8314799062637
731,10,"CDC KR-1 AGL","3","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,5,73,73,102,113,"Ba17",2.83606557377049,0.013699,68,40,21.7,11,49.8314799062637
2207,10,"CDC KR-1 AGL","1","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,124,124,138,154,"Sp17",3.69387755102041,0.008065,103,30,11.7,11.1,122.011941957159
2490,10,"CDC KR-1 AGL","2","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,126,126,133,154,"Sp17",3.85714285714286,0.007937,105,28,11.7,11.1,122.011941957159
2733,10,"CDC KR-1 AGL","3","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,126,126,133,154,"Sp17",3.85714285714286,0.007937,105,28,11.7,11.1,122.011941957159
2215,10,"CDC KR-1 AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,25,125,125,151,159,"Ne17",4.00917431192661,0.008,100,34,19.4,10.8,58.4126713383295
2626,10,"CDC KR-1 AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,25,121,121,144,153,"Ne17",3.86238532110092,0.008264,96,32,19.4,10.8,58.4126713383295
2670,10,"CDC KR-1 AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,22,119,119,142,150,"Ne17",3.78899082568807,0.008403,97,31,19.4,10.8,58.4126713383295
1258,10,"CDC KR-1 AGL","1","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,117,117,133,164,"Mo17",3.38805970149254,0.008547,101,47,11.8,11.5,114.865050601837
1643,10,"CDC KR-1 AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,15,118,118,133,166,"Mo17",3.44776119402985,0.008475,103,48,11.8,11.5,114.865050601837
1947,10,"CDC KR-1 AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,15,117,117,134,165,"Mo17",3.38805970149254,0.008547,102,48,11.8,11.5,114.865050601837
323,10,"CDC KR-1 AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,19,133,133,151,170,"It17",3.59649122807018,0.007519,114,37,11.2,10.8,136.896986497442
380,10,"CDC KR-1 AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,19,133,133,161,174,"It17",3.59649122807018,0.007519,114,41,11.2,10.8,136.896986497442
815,10,"CDC KR-1 AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,22,138,138,159,173,"It17",3.94736842105263,0.007246,116,35,11.2,10.8,136.896986497442
