"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Rosthern, Canada 2017",47,0.021277,17.5,16.4,48.142534472961
"Bardiya, Nepal 2016",120,0.0083545,19.2,11,84.8200291862345
"Bardiya, Nepal 2017",124.666666666667,0.00802166666666667,19.4,10.8,86.8599029024338
"Cordoba, Spain 2016",117,0.00855,12.5,10.9,126.863349399471
"Cordoba, Spain 2017",131.333333333333,0.00761566666666667,11.7,11.1,125.518099652901
"Bhopal, India 2016",84,0.011905,17.6,10.9,103.457653455572
"Bhopal, India 2017",NA,0.011765,20.6,10.7,96.966746869305
"Marchouch, Morocco 2016",128,0.007812,12,10.8,131.357218281214
"Marchouch, Morocco 2017",123.666666666667,0.00808666666666667,11.8,11.5,111.58039353607
"Jessore, Bangladesh 2016",79.6666666666667,0.0125526666666667,18.6,10.8,104.567658163846
"Jessore, Bangladesh 2017",84.3333333333333,0.0118583333333333,21.7,11,90.9054900718491
"Central Ferry, USA 2018",63.5,0.015757,15.8,14.3,61.6415459087371
"Sutherland, Canada 2016",54,0.018519,16.7,15.9,51.5586393589705
"Sutherland, Canada 2017",54.6666666666667,0.0183023333333333,15.7,16.1,52.2491765975806
"Sutherland, Canada 2018",47,0.021277,17.6,16.1,49.3513794107183
"Metaponto, Italy 2016",125.333333333333,0.00798333333333333,10.6,10.9,138.286804916659
"Metaponto, Italy 2017",136.666666666667,0.00731966666666667,11.2,10.8,134.492705341413
"Rosthern, Canada 2016",50,0.0200053333333333,17.2,16.1,50.782054523215
"Rosthern, Canada 2017",47.3333333333333,0.021129,17.5,16.4,49.1312679269362
"Bardiya, Nepal 2016",106.333333333333,0.00941233333333333,19.2,11,69.647178376787
"Bardiya, Nepal 2017",121.333333333333,0.00824166666666667,19.4,10.8,70.2426582289459
"Cordoba, Spain 2016",116.333333333333,0.00860233333333333,12.5,10.9,116.579076956314
"Cordoba, Spain 2017",126.666666666667,0.007898,11.7,11.1,118.559172482619
