"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
25,"CDC Vantage AGL","Sutherland, Canada 2018","Su18",46.6666666666667,0.021431,17.6,16.1,46.6613783771173
25,"CDC Vantage AGL","Central Ferry, USA 2018","Us18",61.6666666666667,0.016217,15.8,14.3,58.5201653605107
25,"CDC Vantage AGL","Bhopal, India 2016","In16",59,0.016949,17.6,10.9,59.000531004779
25,"CDC Vantage AGL","Bhopal, India 2017","In17",64,0.0157583333333333,20.6,10.7,46.6658023287291
25,"CDC Vantage AGL","Jessore, Bangladesh 2016","Ba16",73,0.0137006666666667,18.6,10.8,54.3077092004836
25,"CDC Vantage AGL","Jessore, Bangladesh 2017","Ba17",78.3333333333333,0.012775,21.7,11,42.7470850018048
25,"CDC Vantage AGL","Bardiya, Nepal 2016","Ne16",106.666666666667,0.00938466666666667,19.2,11,51.2388340591718
25,"CDC Vantage AGL","Bardiya, Nepal 2017","Ne17",122.333333333333,0.00817533333333333,19.4,10.8,50.8796598199758
25,"CDC Vantage AGL","Cordoba, Spain 2016","Sp16",110.666666666667,0.00904,12.5,10.9,110.619469026549
25,"CDC Vantage AGL","Cordoba, Spain 2017","Sp17",122,0.00821533333333333,11.7,11.1,125.442857751016
25,"CDC Vantage AGL","Marchouch, Morocco 2016","Mo16",127.666666666667,0.00783266666666667,12,10.8,122.273073025703
